1,1,1,1,1,1,1,1,1,1,1
2,2,1,2,1,1,1,1,1,1,2
3,3,1,1,1,2,2,2,1,2,1
4,4,1,1,1,1,1,1,1,1,1
5,5,1,1,1,2,3,3,2,3,1
6,6,2,1,1,3,4,4,1,4,2
7,7,1,2,1,1,1,1,1,1,2
8,8,2,1,1,4,5,5,2,1,2
9,3,2,1,1,5,6,6,1,5,2
10,3,1,1,1,1,1,1,1,6,1
11,3,1,1,1,6,7,4,1,1,1
12,3,1,1,1,5,8,7,3,7,1
13,3,1,1,1,7,9,8,1,8,1
14,3,1,1,1,2,10,9,1,9,1
15,3,1,1,1,2,11,10,2,10,1
16,3,1,1,1,7,8,7,1,11,1
17,3,1,1,1,8,12,11,2,12,1
18,3,1,1,1,9,13,12,1,13,1
19,5,1,1,1,5,8,7,1,1,1
20,5,1,1,1,2,14,13,1,14,1
21,5,1,1,2,5,15,11,2,15,2
22,5,1,1,1,2,14,13,2,16,1
23,7,1,1,1,2,16,3,1,17,1
24,7,1,1,1,2,17,14,1,1,1
25,7,1,1,1,2,8,7,2,18,1
26,2,1,1,1,7,18,15,2,19,1
27,2,1,1,1,7,18,16,2,19,1
28,2,1,1,1,1,1,1,1,20,1
29,9,1,1,1,8,19,17,1,21,1
